"ResponseId","sex_factor","age","real_imaginary_factor","blame_1","outcome1","outcome2"
"R_2vex3Z2Y8UJUhho","Female",29,"real",40,0,0
"R_UWk2HHPXa0vxJEB","Male",26,"real",75,1,1
"R_3dNe0dpi9xqXJE4","Male",34,"real",50,1,1
"R_uthr22c7jsHMSUp","Male",20,"real",46,1,1
"R_3p4o7ohyg5szGL4","Male",21,"imagined",59,0,0
"R_usTgGl3mSlaJR29","Female",24,"real",30,1,1
"R_2upnP4bUI9b7rme","Male",28,"real",52,1,1
"R_5z2POi5gxcMK2Wd","Male",18,"real",10,0,0
"R_2TAhz04fPgBTknX","Female",32,"real",36,1,1
"R_12otYqdSDsG4eL6","Female",20,"imagined",15,1,0
"R_10DwSyWiQFkUfmC","Female",27,"imagined",40,0,0
"R_OKg5nrDTv3nxWy5","Female",25,"real",39,1,1
"R_77KaqUoB8OLZETT","Female",48,"real",50,1,1
"R_BzjjEa5gf8TqZtn","Male",33,"real",30,1,0
"R_273xTAn2WljgUWL","Female",28,"real",26,0,0
"R_1JIQqdbwA1pNry2","Female",25,"real",30,1,0
"R_SOgj4BCERGRfTnH","Male",34,"real",42,0,0
"R_3EZulh7dYfh7e5v","Male",29,"real",40,1,1
"R_ZES96x08QlcbdHb","Female",29,"real",31,1,0
"R_a3kWV0bdhtavauZ","Male",29,"real",35,1,0
"R_Wed63N1m4iQgk6J","Female",32,"real",50,1,1
"R_32L94V1ABVjNneH","Female",25,"real",9,0,0
"R_1FnUWdIjDGzgQDj","Male",34,"real",10,1,0
"R_1OOE61GORoVMF3d","Female",29,"real",54,1,1
"R_3CHIMCYzzRNDJhL","Female",28,"real",45,1,0
"R_3ETfgmPWW135fiC","Male",30,"real",40,1,0
"R_1Cfpswb0QXwsb0G","Male",28,"real",51,1,1
"R_ZKKTKeRlmIFd5Qt","Female",30,"real",39,1,1
"R_WksLSD9WfbhPNIJ","Female",26,"real",19,0,0
"R_vYWE7gCy9xrbATn","Female",45,"real",40,0,0
"R_A6Zu0rorxHYhIBP","Female",50,"real",9,0,0
"R_3PhRuMLpU5sBRM9","Male",20,"real",33,1,1
"R_5tlX2wY5HSe2xLX","Male",27,"real",60,1,0
"R_27fbq5Sq2Fb0Kfw","Male",27,"real",55,1,1
"R_2qgalYmWM5Dtnij","Female",28,"real",20,1,0
"R_1jcvOpgQYYmOomi","Male",45,"real",0,1,0
"R_12uwCH32lRR4nNJ","Female",38,"real",25,1,0
"R_1pM9FhsANR8zYEr","Female",30,"real",60,1,1
"R_2xE1yatgftZbevD","Male",73,"real",60,1,0
"R_p6QGE8zYNW6CJ2h","Female",25,"imagined",43,1,1
"R_T26HHaZWzroxDB7","Female",51,"real",30,1,1
"R_1KejhxTVvCWMuut","Female",27,"real",32,1,1
"R_2uCy8bWlBccC8rN","Female",30,"real",30,1,0
"R_33kUsG7S3opMB8B","Male",31,"real",74,1,1
"R_3rOfClDLW3fidOW","Female",30,"real",50,1,1
